id,longitude,latitude,total
100631792,-122.853455,45.459435,28.28
100631793,-74.860756,40.02761,55.19
100631795,-76.583694,43.344555,45.91
100631797,-77.56268,39.01375,98.69
100631799,-76.45438,39.251465,29.32
100631800,-117.658035,33.569054,42.86
100631801,-86.06667,39.877842,64.48
100631802,-118.90562,34.26358,20.37
100631803,-121.8225,37.370754,33.68
100631804,-90.46386,38.487576,32.93
100631806,-121.91562,38.449688,130.63
100631813,-76.11339,36.767975,45.62
100631816,-77.38618,37.48716,36.16
100631817,-121.56968,38.5241,53.14
100631819,-111.550674,33.217815,55.85
100631820,-119.30188,46.2378,20.29
100631821,-88.091064,41.73894,118.14
100631822,-96.700226,33.190544,100.56
100631827,-102.12722,31.995256,49.15
100631832,-91.65857,41.164524,53.93
100631836,-95.176476,42.61809,56.39
100631837,-97.43649,32.67473,12.57
100631838,-84.13436,39.689365,20.92
100631839,-80.7061,28.018242,43.74
100631841,-122.293045,37.54756,18.57
100631844,-74.97856,40.63642,55.23
100631845,-80.73698,35.430164,54.12
100631846,-123.34602,43.279655,48.71
100631847,-121.406334,36.850506,43.16
100631848,-81.50289,41.157425,24.62
100631849,-74.336464,40.318417,155.06
100631856,-104.582054,38.2921,40.36
100631857,-81.314026,41.673176,35.7
100631859,-75.50814,40.115078,47.21
100631861,-90.57254,41.5709,37.14
100631862,-123.21467,39.26918,107.71
100631866,-74.09627,40.632713,79.35
100631867,-97.94907,40.568027,117.36
100631868,-122.21607,47.88765,13.23
100631869,-122.49924,47.14059,27.86
100631870,-81.42111,30.345144,24.64
100631874,-98.548164,29.462772,32.6
100631875,-81.322464,28.534834,144.33
100631878,-99.15722,30.072214,9.57
100631880,-87.41679,41.594193,35.28
100631884,-74.36623,44.800102,21.04
100631885,-117.73892,33.562794,216.78
100631889,-104.80218,39.51746,149.06
100631890,-71.99023,42.238003,40.5
100631891,-88.10034,42.057358,36.12
100631894,-78.86476,43.024574,21.02
100631895,-80.338905,39.28304,79.92
100631898,-83.94161,36.103302,32.93
100631901,-80.26231,26.656866,22.31
100631902,-86.187775,43.37169,32
100631903,-84.07427,36.19411,11.01
100631904,-66.48658,18.410788,112.93
100631910,-121.874664,39.737198,15.52
100631911,-100.50784,31.4208,9.26
100631913,-122.30125,37.980442,31.33
100631915,-98.205894,44.35339,27.81
100631917,-158.02501,21.39896,106.78
100631918,-82.70535,28.018246,38.21
100631920,-91.22755,39.973072,22.46
100631921,-122.23517,47.90101,53.17
100631922,-115.1646,36.254814,112.34
100631924,-101.630486,47.29546,79.8
100631925,-79.681725,41.1465,193.41
100631926,-91.94026,35.33543,46.86
100631928,-96.58377,32.88886,71.02
100631930,-116.180695,43.57003,23.95
100631931,-74.98562,40.046986,19.69
100631932,-82.9846,39.97309,56.9
100631934,-82.297905,27.990295,28.87
100631935,-115.025185,36.142296,14.97
100631936,-96.72226,43.537575,27.58
100631937,-80.26231,26.656866,14.36
100631941,-123.34602,43.279655,21.31
100631944,-95.74957,29.718117,43.18
100631946,-100.08309,31.93673,33.12
100631947,-86.03812,40.29047,11.02
100631949,-117.29031,33.266922,41.28
100631953,-75.05246,39.807343,20.77
100631954,-85.51803,35.9806,85.73
100631956,-121.262215,38.84136,20.85
100631961,-121.359985,38.45699,48.72
100631964,-122.2286,47.80261,20.94
100631965,-111.90862,33.537754,27.11
100631966,-93.50941,44.99817,20.86
100631967,-81.48156,28.58448,25.74
100631968,-81.26446,34.150078,21.49
100631971,-117.40259,34.085556,75.75
100631972,-104.801605,38.869144,147.52
100631973,-81.905334,26.551575,18.23
100631977,-122.77576,47.092205,13.18
100631978,-105.047714,39.603546,31.88
100631979,-81.80292,34.91566,34.53
100631981,-82.52673,28.088625,38.62
100631983,-120.96603,38.279457,17.45
100631984,-105.18071,40.451565,25.63
100631986,-93.5746,44.98223,40.83
100631989,-80.28762,36.046364,39.2
100631993,-95.39714,29.767267,116.06
100631994,-96.74506,40.791553,16.65
100631997,-77.4424,37.35387,20.68
100631999,-89.880775,43.273617,41.68
100632000,-74.2952,40.964546,65.34
100632001,-98.450325,29.638222,44.76
100632002,-72.573296,41.944702,102.85
100632003,-111.99792,40.69383,19.93
100632004,-86.15749,39.660065,28.28
100632005,-120.47649,34.655315,66.34
100632006,-104.80218,39.51746,111.04
100632008,-121.476944,38.732613,97.19
100632009,-73.41642,41.218178,56.14
100632010,-117.20055,46.139267,39.39
100632011,-121.64037,37.103783,146.34
100632012,-97.06506,36.73128,22.3
100632014,-111.94476,41.29286,97.01
100632015,-90.664314,38.315853,64.05
100632017,-89.52159,44.891003,37.37
100632018,-81.87751,28.70282,54.09
100632019,-76.33177,39.49128,25.06
100632020,-122.12658,38.011505,23.17
100632022,-122.52149,38.082924,50.62
100632023,-81.66092,28.260227,17.94
100632027,-118.474884,34.15716,57.99
100632029,-90.72518,35.8099,45.1
100632033,-118.137474,33.866615,79.38
100632034,-94.333954,35.330643,71.69
100632035,-116.951836,33.934986,47.78
100632036,-97.762886,35.4651,69.32
100632037,-82.50255,27.881054,21.61
100632038,-104.913536,39.63891,52.89
100632039,-81.18724,28.622246,45.91
100632040,-89.65279,35.05743,55.48
100632041,-88.334,41.8883,67.72
100632043,-110.24765,31.533428,24.19
100632045,-118.18202,34.13304,14.97
100632046,-118.18202,34.13304,14.97
100632047,-85.36085,43.204605,92.14
100632049,-97.699974,39.123295,29.48
100632050,-97.97962,30.213657,32.93
100632051,-95.58632,39.002403,18.07
100632052,-82.869225,39.94576,32.66
100632053,-81.45389,40.471874,50.3
100632054,-81.45389,40.471874,22.79
100632055,-112.296364,33.605938,42.28
100632056,-119.87173,37.50828,210.53
100632057,-84.94026,39.829296,21.76
100632058,-95.58632,39.002403,16.79
100632060,-79.13453,40.575043,20.96
100632062,-82.36163,27.036114,22.31
100632064,-104.96538,39.664715,37.57
100632065,-84.35812,33.849865,21.21
100632066,-84.101364,39.741905,29.44
100632068,-98.548164,29.462772,18.56
100632069,-77.10379,38.85286,26.65
100632070,-84.53167,35.494568,63.81
100632071,-87.57994,41.566303,31.18
100632072,-121.787155,37.672527,93.32
100632073,-95.451614,30.071949,23.07
100632076,-97.147224,37.700806,41.68
100632077,-87.951294,43.046375,42.21
100632079,-82.87804,42.452564,30.03
100632080,-97.252174,37.54267,30.14
100632082,-83.34603,42.41615,90.05
100632083,-86.20837,43.14657,15.84
100632084,-120.87925,38.701366,19.03
100632085,-76.55038,39.34719,69.49
100632088,-92.06248,34.209995,41.47
100632090,-74.56901,39.98592,48.31
100632092,-98.305115,29.553911,23.95
100632095,-88.12283,42.429092,53.48
100632096,-117.24229,34.044857,32.91
100632098,-95.43736,32.300037,14.98
